movie_title;date_top10;viewership;release_netflix;release_theater;box_office_performance;meta_rating;unique_id;holdback_months
How the Grinch Stole Christmas;14-11-2020;47;01-06-2017;17-11-2000;260715005;46;tt0170016;199
Mile 22;14-11-2020;6;01-11-2020;17-08-2018;36108758;38;tt4560436;27
The Impossible;14-11-2020;5;01-11-2020;21-12-2012;19019882;73;tt1649419;95
Knock Knock;15-11-2020;1;01-11-2020;09-10-2015;36336;53;tt3605418;61
Cloudy with a Chance of Meatballs 2;17-11-2020;14;15-11-2020;27-09-2013;119793567;59;tt1985966;86
Peppermint;02-12-2020;21;01-12-2020;07-09-2018;35418723;29;tt6850820;27
Triple 9;09-12-2020;10;08-12-2020;26-02-2016;12639297;52;tt1712261;58
The Secret Life of Pets 2;11-12-2020;103;27-12-2019;07-06-2019;158874395;55;tt5113040;6
The Croods;19-12-2020;30;29-07-2019;15-03-2013;187168425;55;tt0481499;76
White Christmas;25-12-2020;3;03-10-2017;14-10-1954;928298;56;tt0047673;756
Rango;30-12-2020;12;28-12-2020;04-03-2011;123477607;75;tt1192628;117
17 Again;02-01-2021;17;01-01-2021;17-04-2009;64167069;48;tt0974661;141
Unknown;02-01-2021;12;01-01-2021;18-02-2011;63686397;56;tt1401152;119
30 Minutes or Less;02-01-2021;9;01-01-2021;12-08-2011;37053924;49;tt1622547;113
Penguins of Madagascar;18-01-2021;17;15-01-2021;26-11-2014;83850911;53;tt1911658;74
Homefront;20-01-2021;16;18-01-2021;27-11-2013;20158898;40;tt2312718;86
The Next Three Days;25-01-2021;12;22-01-2021;19-11-2010;21148651;52;tt1458175;122
Hell Fest;02-02-2021;2;31-01-2021;28-09-2018;11107431;26;tt1999890;28
Are We There Yet?;04-02-2021;15;01-02-2021;21-01-2005;82674398;27;tt0368578;193
All About the Benjamins;04-02-2021;10;01-02-2021;08-03-2002;25916319;34;tt0278295;227
War Dogs;09-02-2021;21;08-02-2021;19-08-2016;43034523;57;tt2005151;54
The Conjuring 2;22-02-2021;9;21-02-2021;10-06-2016;102516140;65;tt3065204;56
The Conjuring;23-02-2021;7;08-01-2018;19-07-2013;137446368;68;tt1457767;54
Step Up Revolution;02-03-2021;4;01-03-2021;27-07-2012;35074677;43;tt1800741;104
The Dark Knight;03-03-2021;21;01-03-2021;18-07-2008;534987076;84;tt0468569;152
Training Day;04-03-2021;12;01-03-2021;05-10-2001;76631907;69;tt0139654;233
Parker;08-03-2021;12;04-03-2021;25-01-2013;17616641;42;tt1904996;98
Savages;17-03-2021;14;16-03-2021;06-07-2012;47382068;59;tt1615065;104
The BFG;18-03-2021;11;15-03-2021;01-07-2016;55483770;66;tt3691740;56
Hop;01-04-2021;9;16-01-2020;01-04-2011;108498305;41;tt1411704;105
Friends with Benefits;02-04-2021;11;01-04-2021;22-07-2011;55802754;63;tt1632708;117
Saving Private Ryan;04-04-2021;22;01-04-2021;24-07-1998;217049603;91;tt0120815;273
Legally Blonde;04-04-2021;14;01-04-2021;13-07-2001;96520674;59;tt0250494;237
The Little Rascals;08-04-2021;25;02-04-2021;05-08-1994;52125282;45;tt0110366;320
Crimson Peak;18-04-2021;4;16-04-2021;16-10-2015;31090320;66;tt2554274;66
The Zookeeper's Wife;18-04-2021;11;16-04-2021;31-03-2017;17571660;57;tt1730768;49
Rush;19-04-2021;8;16-04-2021;20-09-2013;26947624;74;tt1979320;91
American Me;21-04-2021;11;17-04-2021;13-03-1992;13086430;66;tt0103671;349
Green Zone;02-05-2021;7;01-05-2021;12-03-2010;35053660;63;tt0947810;134
Love Happens;02-05-2021;7;01-05-2021;18-09-2009;22965110;33;tt0899106;140
Your Highness;02-05-2021;5;01-05-2021;08-04-2011;21596445;31;tt1240982;121
Dead Man Down;09-05-2021;11;06-11-2013;08-03-2013;10895295;39;tt2101341;8
Sleight;17-05-2021;6;17-05-2021;28-04-2017;3986245;62;tt4573516;49
Sabotage;20-05-2021;13;19-05-2021;28-03-2014;10508518;41;tt1742334;86
Home;26-05-2021;86;25-05-2021;27-03-2015;177397510;55;tt2224026;74
Collateral Beauty;31-05-2021;5;28-05-2021;16-12-2016;31016021;23;tt4682786;53
A Haunted House 2;13-06-2021;6;10-06-2021;18-04-2014;17329486;17;tt2828996;86
Underworld: Awakening;02-07-2021;2;01-07-2021;20-01-2012;62321039;39;tt1496025;114
Mother's Day;02-07-2021;13;01-07-2021;29-04-2016;32492859;18;tt4824302;63
Kung Fu Panda;03-07-2021;15;01-07-2021;06-06-2008;215771591;74;tt0441773;157
The Best of Enemies;05-07-2021;4;01-07-2021;05-04-2019;10205616;49;tt4807408;27
The Twilight Saga: Eclipse;17-07-2021;15;16-07-2021;30-06-2010;300531751;58;tt1325004;133
The Twilight Saga: Breaking Dawn - Part 2;17-07-2021;17;17-07-2021;16-11-2012;292324737;52;tt1673434;104
The Twilight Saga: Breaking Dawn - Part 1;17-07-2021;15;17-07-2021;18-11-2011;281287133;45;tt1324999;116
Twilight;17-07-2021;18;02-03-2015;21-11-2008;193962473;56;tt1099212;76
The Twilight Saga: New Moon;17-07-2021;15;16-07-2021;29-06-2010;2385237;44;tt1259571;133
Five Feet Apart;02-08-2021;6;01-08-2021;15-03-2019;45729221;53;tt6472976;29
The Losers;02-08-2021;15;01-08-2021;23-04-2010;23591432;44;tt0480255;136
Poms;04-08-2021;8;01-08-2021;10-05-2019;13631124;36;tt5125894;27
Major Payne;05-08-2021;21;01-08-2021;24-03-1995;29412050;34;tt0110443;317
The Net;08-08-2021;9;01-08-2021;28-07-1995;50727965;51;tt0113957;313
Walk of Shame;19-08-2021;5;16-08-2021;02-05-2014;59209;25;tt2463288;87
The November Man;30-08-2021;3;25-08-2021;27-08-2014;25018119;38;tt2402157;84
Green Lantern;02-09-2021;9;01-09-2021;17-06-2011;116601172;39;tt1133985;123
Welcome Home Roscoe Jenkins;02-09-2021;11;01-09-2021;08-02-2008;42436517;46;tt0494652;163
Wind River;02-09-2021;15;01-03-2018;04-08-2017;33800859;73;tt5362988;7
Tears of the Sun;06-09-2021;2;01-09-2021;07-03-2003;43734876;48;tt0314353;222
A Cinderella Story;07-09-2021;10;01-09-2021;16-07-2004;51438175;25;tt0356470;206
Osmosis Jones;08-09-2021;1;01-09-2021;10-08-2001;13596911;57;tt0181739;241
An Unfinished Life;09-09-2021;14;01-09-2021;09-09-2005;8586392;49;tt0350261;192
Safe House;17-09-2021;14;16-09-2021;10-02-2012;126373434;52;tt1599348;115
Birth of the Dragon;17-09-2021;6;16-09-2021;25-08-2017;6901965;35;tt2720826;49
Grown Ups;24-09-2021;18;20-09-2021;25-06-2010;162001186;30;tt1375670;135
The DUFF;02-10-2021;11;01-10-2021;20-02-2015;34030343;56;tt1666801;80
Titanic;04-10-2021;41;01-10-2021;19-12-1997;659363944;75;tt0120338;286
Premonition;06-10-2021;9;01-10-2021;16-03-2007;47852604;29;tt0477071;175
The Karate Kid;07-10-2021;7;01-10-2021;11-06-2010;176591618;61;tt1155076;136
Hall Pass;12-10-2021;1;01-10-2021;25-02-2011;45060734;45;tt0480687;128
Going in Style;13-10-2021;20;11-10-2021;07-04-2017;45018541;50;tt2568862;54
Scary Movie 4;18-10-2021;14;14-10-2021;14-04-2006;90710620;40;tt0362120;186
Apocalypse Now;19-10-2021;5;14-10-2021;15-08-1979;96031980;94;tt0078788;506
Monster House;30-10-2021;3;03-04-2019;21-07-2006;73661010;68;tt0385880;153
21 Jump Street;02-11-2021;19;01-11-2021;16-03-2012;138447667;69;tt1232829;116
Replicas;03-11-2021;6;01-11-2021;11-01-2019;4046429;19;tt4154916;34
Total Recall;04-11-2021;2;01-11-2021;03-08-2012;58877969;43;tt1386703;111
The General's Daughter;05-11-2021;3;01-11-2021;18-06-1999;102705852;47;tt0144214;269
Friday the 13th;05-11-2021;2;01-11-2021;09-05-1980;39754601;22;tt0080761;498
Moneyball;09-11-2021;4;14-10-2020;23-09-2011;75605492;87;tt1210166;109
American Reunion;17-11-2021;7;16-11-2021;06-04-2012;57011521;49;tt1605630;115
Here Comes the Boom;21-11-2021;8;20-11-2021;12-10-2012;45290318;40;tt1648179;109
Life;02-12-2021;9;01-12-2021;24-03-2017;30234022;54;tt5442430;57
Looper;04-12-2021;5;01-12-2021;28-09-2012;66486205;84;tt1276104;111
Law Abiding Citizen;07-12-2021;14;16-12-2018;16-10-2009;73357727;34;tt1197624;110
The Shack;11-12-2021;17;10-12-2021;03-03-2017;57386418;32;tt2872518;57
Body of Lies;14-12-2021;3;01-12-2021;10-10-2008;39394666;57;tt0758774;158
Darkest Hour;17-12-2021;1;16-12-2021;22-11-2017;56468410;75;tt4555426;49
Oldboy;23-12-2021;7;18-12-2021;27-11-2013;2193658;49;tt1321511;97
Journey 2: The Mysterious Island;02-01-2022;22;01-01-2022;10-02-2012;103887748;41;tt1397514;119
Rise of the Guardians;02-01-2022;5;01-01-2022;21-11-2012;103412758;58;tt1446192;110
Dark Shadows;02-01-2022;6;01-01-2022;11-05-2012;79727149;55;tt1077368;116
Scary Stories to Tell in the Dark;02-01-2022;4;01-01-2022;09-08-2019;68947075;61;tt3387520;29
The Longest Yard;04-01-2022;18;01-04-2015;27-05-2005;158119460;48;tt0398165;119
The Town;04-01-2022;12;01-07-2020;17-09-2010;92186262;74;tt0840361;118
Just Go with It;05-01-2022;28;22-05-2020;11-02-2011;103028109;33;tt1564367;111
First Sunday;06-01-2022;9;01-01-2022;11-01-2008;37931869;41;tt0486578;168
300;08-01-2022;6;01-01-2022;09-03-2007;210629101;52;tt0416449;178
Girl, Interrupted;08-01-2022;6;01-01-2022;21-12-1999;28912646;51;tt0172493;265
The God Committee;16-01-2022;6;12-01-2022;02-07-2021;32934;48;tt6852526;6
Phantom Thread;17-01-2022;1;16-01-2022;25-12-2017;21198205;90;tt5776858;49
Under Suspicion;18-01-2022;11;01-01-2022;22-09-2000;260562;43;tt0164212;256
